id,title,relation,object,province
MOC-109774,วัดสามัคยาราม,ตั้งขึ้นเมื่อ,วันที่ 19 พฤษภาคม 2506,นครศรีธรรมราช
MOC-181635,วัดคีรีอัศจรรย์,ตั้งขึ้นเมื่อ,พ.ศ.๒๓๒๘,นครศรีธรรมราช
MOC-90423,วัดคีรีวง,ตั้งขึ้นเมื่อ,พ.ศ. 2237,นครศรีธรรมราช
MOC-109718,วัดถลุงทอง,ตั้งขึ้นเมื่อ,พ.ศ.2460,นครศรีธรรมราช
MOC-181624,วัดเกาะเพชร,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๓๖,นครศรีธรรมราช
MOC-90529,วัดวังไทร,ตั้งขึ้นเมื่อ,พ.ศ. 2275 ,นครศรีธรรมราช
MOC-181478,วัดโบราณาราม,ตั้งขึ้นเมื่อ,พ.ศ.๒๔๓๓,นครศรีธรรมราช
MOC-185976,วัดยางค้อม,ตั้งขึ้นเมื่อ,พ.ศ.๒๔๓๓,นครศรีธรรมราช
MOC-178843,ศาลเจ้าแม่กวนอิมจันดี,ตั้งขึ้นเมื่อ,พ.ศ.2543,นครศรีธรรมราช
MOC-82431,วัดกาญจนาราม(บางนาวล่าง),ตั้งขึ้นเมื่อ,พ.ศ. 2310 ,นครศรีธรรมราช
MOC-31522,วัดกลางโสภา,ตั้งขึ้นเมื่อ,พ.ศ. 2297,นครนายก
MOC-31521,วัดโพธิ์ศรี,ตั้งขึ้นเมื่อ,พ.ศ. 2297,นครนายก
MOC-150913,พิพิธภัณฑ์พื้นบ้านวัดฝั่งคลอง (ไทยพวน),ตั้งขึ้นเมื่อ,พ.ศ.๒๕๔๑,นครนายก
MOC-97171,วัดห้างฉัตร,ตั้งขึ้นเมื่อ,พ.ศ. 2227,ลำปาง
MOC-147498,วัดอุบลวรรณาราม,ตั้งขึ้นเมื่อ,พ.ศ. 2429,ราชบุรี
MOC-147514,วัดตาลบำรุงกิจ,ตั้งขึ้นเมื่อ,พ.ศ. 2417,ราชบุรี
MOC-147534,วัดดอนคลัง,ตั้งขึ้นเมื่อ,พ.ศ. 2430,ราชบุรี
MOC-34977,พิพิธภัณฑสถานแห่งชาติ ราชบุรี,ตั้งขึ้นเมื่อ,พ.ศ. 2529,ราชบุรี
MOC-178684,ศาลเจ้าอาม่า,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๖๘,สมุทรสาคร
MOC-63691,วัดเทพนรรัตน์,ตั้งขึ้นเมื่อ,วันที่ 13 กันยายน พ.ศ. 2526,สมุทรสาคร
MOC-67275,วัดหลักสี่ราษฎร์สโมสร,ตั้งขึ้นเมื่อ,พ.ศ. 2471,สมุทรสาคร
MOC-67345,วัดเจ็ดริ้ว,ตั้งขึ้นเมื่อ,พ.ศ. 2436,สมุทรสาคร
MOC-67289,วัดหนองบัว,ตั้งขึ้นเมื่อ,พ.ศ. 2465,สมุทรสาคร
MOC-33454,วัดเชิงเขา,ตั้งขึ้นเมื่อ,พ.ศ. 2421,นราธิวาส
MOC-175209,วัดป่าประดู่,ตั้งขึ้นเมื่อ,พ.ศ. 2523,ปราจีนบุรี
MOC-160231,วัดโพธิ์ศรี,ตั้งขึ้นเมื่อ,พ.ศ. ๒๓๘๐,ปราจีนบุรี
MOC-61965,วัดศรีวโนภาสสถิตย์พร,ตั้งขึ้นเมื่อ,วันที่ 3 เมษายน พ.ศ. 2497,ระยอง
MOC-112364,วัดคีรีภาวนาราม,ตั้งขึ้นเมื่อ,พ.ศ.2498,ระยอง
MOC-189715,วัดละหารไร่,ตั้งขึ้นเมื่อ,พ.ศ. 2354,ระยอง
MOC-145696,วัดเกษตรสมบูรณ์,ตั้งขึ้นเมื่อ,พ.ศ.2533,พะเยา
MOC-16613,วัดในกลาง,ตั้งขึ้นเมื่อ,พ.ศ. 2305,เพชรบุรี
MOC-15035,พิพิธภัณฑ์ปานถนอม,ตั้งขึ้นเมื่อ,พ.ศ. 2542,เพชรบุรี
MOC-18314,วัดเหมืองหม้อ,ตั้งขึ้นเมื่อ,พ.ศ.2440,แพร่
MOC-82791,วัดศรีสว่าง,ตั้งขึ้นเมื่อ,พ.ศ. ๒๑๑๖,แพร่
MOC-18249,พิพิธภัณฑ์เสรีไทย,ตั้งขึ้นเมื่อ,พ.ศ.2550,แพร่
MOC-170981,วัดสวนหงษ์,ตั้งขึ้นเมื่อ,พ.ศ. 2379,สุพรรณบุรี
MOC-141474,วัดนารายณ์ทรงธรรม,ตั้งขึ้นเมื่อ,พ.ศ. 2496,ลพบุรี
MOC-136358,วัดเขาแก้วรัตนวนาราม,ตั้งขึ้นเมื่อ,พ.ศ.2483 ,ลพบุรี
